Date,Department,Region,Revenue,Expenses,NewCustomers,ChurnRate,CustomerSatisfaction,EmployeeEngagement,SupportTickets,TrainingHours,StrategicInitiatives
2022-01-01,Sales,North,85595.68,49201.5,138,0.068,82.4,74.8,124,15.2,3
2022-01-01,Sales,South,78305.6,45962.95,153,0.068,81.9,76.9,105,16.7,5
2022-01-01,Sales,West,82145.8,47382.54,146,0.043,80.9,80.4,132,15.3,4
2022-01-01,Marketing,North,57568.75,34741.0,76,0.087,73.5,68,83,13.3,7
2022-01-01,Marketing,South,53624.93,29141.28,100,0.068,77.2,74.2,91,18.5,6
2022-01-01,Marketing,West,55224.6,33107.06,95,0.072,75.5,73.7,95,15.2,9
2022-01-01,Operations,North,60132.48,32894.49,79,0.067,88.6,85.3,187,17.7,3
2022-01-01,Operations,South,55137.73,33556.1,52,0.05,86.4,82.1,173,19.7,8
2022-01-01,Operations,West,62169.89,34921.94,63,0.04,89.3,81.4,158,20.2,3
2022-02-01,Sales,North,88516.2,46449.88,127,0.053,84.3,82.3,119,16.8,4
2022-02-01,Sales,South,84812.59,51464.34,143,0.048,84.7,80.1,137,15.9,6
2022-02-01,Sales,West,84023.93,52749.54,141,0.054,78.1,78.6,140,18.4,4
2022-02-01,Marketing,North,50652.45,30458.78,96,0.073,76.6,75.0,108,12.8,5
2022-02-01,Marketing,South,58118.25,32930.7,85,0.081,73.2,75.6,76,18.7,6
2022-02-01,Marketing,West,64152.01,37748.66,106,0.064,77.6,75.9,108,11.0,7
2022-02-01,Operations,North,67589.74,42311.61,78,0.051,85.0,79.5,163,17.4,7
2022-02-01,Operations,South,57141.41,33691.25,51,0.045,86.4,85.3,187,17.9,3
2022-02-01,Operations,West,64002.48,38114.09,75,0.042,90.0,83.2,173,21.8,5
2022-03-01,Sales,North,93067.99,59990.12,142,0.056,83.2,83.2,121,17.6,5
2022-03-01,Sales,South,81502.07,43049.63,143,0.063,79.4,81.4,128,13.0,4
2022-03-01,Sales,West,86994.76,46586.5,145,0.059,79.4,80.5,127,14.3,4
2022-03-01,Marketing,North,64181.02,35852.8,94,0.08,86.7,69.8,97,15.1,5
2022-03-01,Marketing,South,61509.73,35659.82,116,0.075,78.7,73.6,82,16.2,5
2022-03-01,Marketing,West,58449.95,30209.81,114,0.078,84.1,72.2,93,25.5,4
2022-03-01,Operations,North,62131.22,35017.45,75,0.058,91.3,82.3,129,16.7,6
2022-03-01,Operations,South,62578.9,32621.87,69,0.067,92.9,84.6,165,14.3,3
2022-03-01,Operations,West,64321.13,38277.24,76,0.044,82.0,80.8,137,19.9,1
2022-04-01,Sales,North,91821.53,54495.74,158,0.061,86.3,77.9,109,14.0,6
2022-04-01,Sales,South,87611.77,52095.88,179,0.06,83.7,79.9,116,22.9,6
2022-04-01,Sales,West,83661.82,47520.3,145,0.069,77.3,72.7,92,15.8,3
2022-04-01,Marketing,North,62444.27,34775.82,75,0.056,80.0,76.0,100,18.4,5
2022-04-01,Marketing,South,60126.41,34627.34,82,0.074,75.5,68.9,91,16.7,5
2022-04-01,Marketing,West,55821.55,32999.14,110,0.08,76.2,73.3,89,12.2,5
2022-04-01,Operations,North,68254.14,43364.61,81,0.062,84.3,84.9,138,18.9,5
2022-04-01,Operations,South,58877.57,37680.55,76,0.027,87.4,81.9,160,19.4,5
2022-04-01,Operations,West,57662.97,31440.76,79,0.066,92.7,88.0,120,20.3,2
2022-05-01,Sales,North,97712.79,57416.08,126,0.084,85.1,73.7,124,13.8,4
2022-05-01,Sales,South,81668.89,50733.11,122,0.064,87.8,76.7,123,16.6,3
2022-05-01,Sales,West,89948.75,52432.16,128,0.081,84.8,78.5,110,13.6,5
2022-05-01,Marketing,North,60115.62,35695.64,87,0.087,78.4,77.1,88,18.5,6
2022-05-01,Marketing,South,54446.03,30174.36,78,0.071,74.1,77.4,89,20.7,9
2022-05-01,Marketing,West,57826.01,30853.62,85,0.079,72.8,74.3,93,14.6,4
2022-05-01,Operations,North,64709.12,40999.73,68,0.04,85.5,85.7,146,19.4,6
2022-05-01,Operations,South,63570.99,39540.57,63,0.064,82.7,81.9,182,20.5,5
2022-05-01,Operations,West,59986.97,35803.21,62,0.039,83.7,83.7,119,19.1,5
2022-06-01,Sales,North,87498.16,53470.81,147,0.053,80.5,80.9,98,15.0,3
2022-06-01,Sales,South,81260.57,47645.82,140,0.074,82.3,78.1,102,18.2,4
2022-06-01,Sales,West,90357.83,50381.39,140,0.059,81.7,79.0,95,18.5,4
2022-06-01,Marketing,North,62924.66,40742.91,86,0.08,78.8,80.4,71,17.5,3
2022-06-01,Marketing,South,44316.5,23016.88,73,0.093,74.5,74.4,77,17.8,4
2022-06-01,Marketing,West,60771.78,33437.05,80,0.081,78.1,79.0,91,12.4,5
2022-06-01,Operations,North,63515.26,38220.39,74,0.049,89.8,81.5,157,18.5,7
2022-06-01,Operations,South,58935.13,33562.15,57,0.058,83.4,84.0,123,21.1,3
2022-06-01,Operations,West,59679.3,36509.26,53,0.049,86.3,80.2,185,22.5,2
2022-07-01,Sales,North,81028.53,48961.25,124,0.055,83.3,80.9,116,16.3,2
2022-07-01,Sales,South,82423.27,46580.73,144,0.054,81.9,78.5,117,13.0,5
2022-07-01,Sales,West,86949.15,51064.75,148,0.07,85.2,79.8,123,18.6,4
2022-07-01,Marketing,North,53291.29,30947.07,67,0.08,80.2,78.5,91,18.8,5
2022-07-01,Marketing,South,47717.83,25655.9,78,0.064,79.7,74.4,96,16.2,7
2022-07-01,Marketing,West,57710.67,32354.9,86,0.074,72.3,76.9,102,16.0,5
2022-07-01,Operations,North,66818.17,34053.95,72,0.052,84.8,86.9,178,17.2,4
2022-07-01,Operations,South,55641.92,31417.45,54,0.067,89.1,85.2,138,24.2,7
2022-07-01,Operations,West,60658.2,33536.3,59,0.055,82.8,82.9,180,13.5,7
2022-08-01,Sales,North,88139.48,47849.81,123,0.057,79.2,78.3,82,15.3,6
2022-08-01,Sales,South,70875.92,40527.41,122,0.068,80.7,84.4,122,14.9,4
2022-08-01,Sales,West,76948.2,41538.24,143,0.058,82.6,80.1,112,17.3,6
2022-08-01,Marketing,North,50554.7,31956.78,87,0.071,87.3,75.4,104,18.5,3
2022-08-01,Marketing,South,49670.87,28026.31,73,0.059,77.9,76.7,94,15.1,4
2022-08-01,Marketing,West,48385.99,27258.01,77,0.078,77.9,72.5,87,13.7,5
2022-08-01,Operations,North,62254.81,36440.46,75,0.03,85.5,83.8,172,13.2,5
2022-08-01,Operations,South,58942.47,33870.8,68,0.055,86.4,84.9,161,18.5,3
2022-08-01,Operations,West,57003.47,35204.98,67,0.048,84.3,85.2,143,20.7,3
2022-09-01,Sales,North,76432.58,44803.11,141,0.064,86.5,77.8,126,13.3,5
2022-09-01,Sales,South,74716.54,44538.2,142,0.051,80.4,80.4,119,16.4,2
2022-09-01,Sales,West,76952.7,43035.2,126,0.058,75.5,81.0,132,15.8,2
2022-09-01,Marketing,North,49462.92,28464.24,60,0.082,81.1,74.1,84,16.5,6
2022-09-01,Marketing,South,51575.36,29942.17,81,0.074,78.1,79.4,86,12.8,4
2022-09-01,Marketing,West,42921.6,25319.19,73,0.065,71.1,71.9,96,12.1,3
2022-09-01,Operations,North,59259.15,33763.78,75,0.059,86.8,79.4,157,19.5,4
2022-09-01,Operations,South,48019.81,29439.91,65,0.045,85.6,85.9,165,17.0,5
2022-09-01,Operations,West,63357.66,39385.25,78,0.037,95,79.6,152,15.9,7
2022-10-01,Sales,North,80682.84,43341.71,143,0.067,81.7,75.6,109,14.7,4
2022-10-01,Sales,South,69848.32,42052.64,128,0.039,78.9,82.8,111,23.0,4
2022-10-01,Sales,West,71364.51,39605.26,142,0.046,90.3,76.2,129,20.4,3
2022-10-01,Marketing,North,48678.49,27834.75,94,0.091,79.0,71.1,90,14.0,2
2022-10-01,Marketing,South,44754.54,24034.37,97,0.103,84.0,73.4,84,18.1,7
2022-10-01,Marketing,West,48214.41,27758.05,116,0.079,76.3,75.3,96,12.9,5
2022-10-01,Operations,North,53877.74,30799.32,92,0.059,86.5,80.4,154,21.2,4
2022-10-01,Operations,South,57516.47,30989.35,66,0.071,78.5,86.3,124,17.7,4
2022-10-01,Operations,West,58085.03,28192.36,46,0.043,86.1,80.5,155,14.4,4
2022-11-01,Sales,North,77171.14,45324.2,146,0.077,80.5,78.1,120,15.1,3
2022-11-01,Sales,South,67035.3,39628.1,129,0.049,75.9,82.3,117,19.4,4
2022-11-01,Sales,West,70357.11,38519.75,149,0.051,78.2,78.5,117,13.0,3
2022-11-01,Marketing,North,51096.98,25666.03,96,0.07,83.4,71.8,72,19.6,3
2022-11-01,Marketing,South,45519.22,27216.86,86,0.06,78.2,74.5,103,17.8,10
2022-11-01,Marketing,West,44498.14,25779.99,77,0.094,80.9,77.1,81,13.8,3
2022-11-01,Operations,North,64618.48,38463.93,66,0.061,89.4,85.7,128,15.9,5
2022-11-01,Operations,South,54294.9,33050.23,57,0.052,93.2,84.9,176,17.9,6
2022-11-01,Operations,West,62157.04,36249.94,84,0.039,88.1,85.5,145,21.3,4
2022-12-01,Sales,North,79837.66,46302.99,163,0.064,86.1,77.0,121,12.5,3
2022-12-01,Sales,South,77708.74,44981.56,157,0.058,80.8,82.6,110,11.4,5
2022-12-01,Sales,West,80169.66,41290.91,140,0.055,88.1,77.0,111,13.3,2
2022-12-01,Marketing,North,51980.26,27909.36,77,0.061,73.6,70.6,84,13.9,4
2022-12-01,Marketing,South,50921.95,29461.29,84,0.074,83.1,75.7,95,8.2,5
2022-12-01,Marketing,West,44241.48,25094.38,94,0.072,79.8,72.1,96,11.3,5
2022-12-01,Operations,North,61949.33,36926.61,68,0.073,85.3,81.7,107,23.3,4
2022-12-01,Operations,South,50603.95,31355.58,84,0.051,80.5,84.2,148,14.5,6
2022-12-01,Operations,West,50135.93,29931.9,75,0.075,87.1,77.2,143,18.2,5
2023-01-01,Sales,North,94698.86,49357.97,136,0.072,88.7,84.6,114,19.3,6
2023-01-01,Sales,South,86767.24,52208.77,149,0.051,76.9,82.2,115,15.9,3
2023-01-01,Sales,West,85544.83,50213.31,127,0.061,83.4,79.2,109,18.4,6
2023-01-01,Marketing,North,57997.65,35786.52,100,0.048,76.6,73.6,98,16.6,6
2023-01-01,Marketing,South,56604.98,31304.39,81,0.065,77.4,75.1,91,13.8,7
2023-01-01,Marketing,West,60449.89,37865.54,98,0.082,80.9,77.1,82,19.9,8
2023-01-01,Operations,North,73699.34,42823.5,73,0.055,87.3,85.1,157,17.4,7
2023-01-01,Operations,South,60996.5,35500.59,80,0.052,87.0,83.2,136,17.9,3
2023-01-01,Operations,West,64335.53,35034.35,81,0.059,87.5,83.1,167,12.1,3
2023-02-01,Sales,North,94396.07,55727.46,139,0.048,83.8,78.1,104,17.0,3
2023-02-01,Sales,South,90064.65,54035.73,148,0.064,79.0,76.8,98,24.6,2
2023-02-01,Sales,West,89662.39,51034.78,136,0.053,76.0,76.6,99,15.6,3
2023-02-01,Marketing,North,60100.95,35247.79,83,0.091,77.9,76.0,75,18.0,5
2023-02-01,Marketing,South,57983.77,34204.64,87,0.083,76.7,79.2,100,17.4,4
2023-02-01,Marketing,West,55682.03,31186.62,87,0.085,75.4,78.7,90,10.0,5
2023-02-01,Operations,North,60403.05,33671.57,63,0.043,86.2,82.3,148,22.5,6
2023-02-01,Operations,South,58840.36,36340.81,50,0.04,91.3,77.1,171,14.2,4
2023-02-01,Operations,West,65513.29,41333.39,60,0.049,88.7,82.7,144,17.8,5
2023-03-01,Sales,North,100683.29,55547.82,134,0.064,82.7,78.9,119,13.9,2
2023-03-01,Sales,South,89837.45,49154.29,153,0.063,77.5,80.2,122,18.3,5
2023-03-01,Sales,West,91659.53,51216.33,132,0.048,79.9,80.2,120,14.5,2
2023-03-01,Marketing,North,65483.59,36995.09,77,0.078,78.4,72.4,98,18.5,6
2023-03-01,Marketing,South,58604.06,34917.43,89,0.091,83.8,75.6,94,18.6,5
2023-03-01,Marketing,West,57256.64,34765.09,71,0.101,81.5,75.9,90,21.3,4
2023-03-01,Operations,North,67345.98,37852.21,66,0.038,87.8,83.8,144,22.8,3
2023-03-01,Operations,South,60137.49,35558.31,67,0.055,83.8,80.5,147,15.9,5
2023-03-01,Operations,West,66326.48,39984.45,77,0.062,89.7,85.6,174,16.4,4
2023-04-01,Sales,North,92161.84,54260.51,131,0.065,85.1,75.6,105,15.0,3
2023-04-01,Sales,South,89764.49,48951.92,140,0.04,74.5,81.4,101,14.3,2
2023-04-01,Sales,West,88942.55,50522.42,135,0.072,84.1,78.7,130,19.3,4
2023-04-01,Marketing,North,63488.05,38763.15,111,0.088,85.5,78.0,99,12.7,4
2023-04-01,Marketing,South,58555.05,31029.27,82,0.09,75.7,76.9,75,14.5,7
2023-04-01,Marketing,West,62548.99,36823.12,110,0.096,75.4,79.1,83,15.9,6
2023-04-01,Operations,North,75878.04,41438.67,75,0.056,90.1,82.8,179,15.9,6
2023-04-01,Operations,South,66486.44,35769.54,74,0.052,84.8,81.3,155,13.7,7
2023-04-01,Operations,West,64739.02,36264.31,83,0.057,89.0,87.6,154,14.9,6
2023-05-01,Sales,North,100376.07,57233.76,124,0.075,85.3,75.6,131,11.7,3
2023-05-01,Sales,South,84363.31,47316.44,130,0.053,84.5,80.2,129,19.3,3
2023-05-01,Sales,West,93221.63,55573.57,160,0.071,87.3,82.3,135,10.6,5
2023-05-01,Marketing,North,65011.23,37812.25,83,0.075,80.8,77.8,73,16.7,5
2023-05-01,Marketing,South,54817.61,32439.89,86,0.072,75.3,76.2,89,12.7,4
2023-05-01,Marketing,West,60566.93,35864.98,77,0.086,75.6,83.0,79,13.6,6
2023-05-01,Operations,North,68248.32,41278.56,91,0.045,87.9,82.0,159,22.3,6
2023-05-01,Operations,South,61441.23,38485.38,83,0.056,83.7,83.6,144,19.4,4
2023-05-01,Operations,West,60183.97,36578.98,72,0.063,86.0,83.9,181,19.2,5
2023-06-01,Sales,North,106167.01,61038.6,142,0.081,80.5,76.5,99,17.6,4
2023-06-01,Sales,South,88472.17,47721.28,152,0.074,81.7,79.5,129,17.1,4
2023-06-01,Sales,West,86595.5,49771.74,125,0.068,84.4,79.1,124,11.3,5
2023-06-01,Marketing,North,60870.63,35540.63,103,0.071,83.5,75.7,90,17.7,4
2023-06-01,Marketing,South,58632.49,34115.04,102,0.077,76.7,76.4,89,12.5,5
2023-06-01,Marketing,West,63966.31,36921.79,79,0.089,72.0,69.5,89,16.5,6
2023-06-01,Operations,North,66326.46,38169.88,53,0.053,81.6,83.0,165,12.7,4
2023-06-01,Operations,South,65595.31,41093.43,51,0.054,81.7,79.6,190,20.0,3
2023-06-01,Operations,West,66910.6,40096.74,72,0.077,88.6,75.0,154,15.8,4
2023-07-01,Sales,North,91313.13,51177.88,126,0.076,85.4,77.5,129,18.0,5
2023-07-01,Sales,South,78880.4,47596.16,132,0.074,81.3,73.0,120,10.6,3
2023-07-01,Sales,West,86716.33,49251.48,122,0.047,79.5,78.7,138,18.1,3
2023-07-01,Marketing,North,64560.57,34795.44,98,0.078,80.1,77.2,82,18.4,5
2023-07-01,Marketing,South,62819.3,35861.79,105,0.088,73.9,79.2,78,9.3,7
2023-07-01,Marketing,West,60981.34,35464.35,86,0.099,81.0,73.6,97,12.3,5
2023-07-01,Operations,North,63101.04,32433.9,55,0.065,83.5,81.9,137,20.6,5
2023-07-01,Operations,South,62137.61,35842.8,55,0.038,88.9,83.2,174,8.5,6
2023-07-01,Operations,West,61871.11,39918.36,63,0.05,88.8,80.9,176,16.1,6
2023-08-01,Sales,North,90391.58,53771.16,131,0.057,84.3,73.7,112,18.8,2
2023-08-01,Sales,South,83747.46,46994.94,143,0.046,83.7,80.7,136,20.1,5
2023-08-01,Sales,West,84174.42,45724.81,155,0.044,81.0,81.5,126,20.8,3
2023-08-01,Marketing,North,51782.68,29606.35,92,0.076,84.2,74.7,74,17.4,4
2023-08-01,Marketing,South,58152.5,34199.65,73,0.093,86.3,69.8,99,17.5,6
2023-08-01,Marketing,West,56152.05,33396.8,81,0.097,73.8,80.9,106,12.4,5
2023-08-01,Operations,North,69078.31,39047.91,68,0.045,91.4,81.7,159,19.6,4
2023-08-01,Operations,South,54970.69,29670.62,51,0.036,80.0,81.4,165,18.2,3
2023-08-01,Operations,West,57492.93,31632.52,53,0.035,89.0,79.5,160,16.1,8
2023-09-01,Sales,North,78653.66,46075.24,135,0.051,84.4,79.8,104,17.3,4
2023-09-01,Sales,South,81436.25,45742.81,157,0.058,75.1,80.9,118,13.4,5
2023-09-01,Sales,West,79247.31,48381.0,139,0.069,84.9,80.7,105,18.8,4
2023-09-01,Marketing,North,62945.92,37412.55,99,0.071,77.9,75.7,77,12.5,5
2023-09-01,Marketing,South,50338.03,29501.22,103,0.075,80.4,75.0,87,16.8,3
2023-09-01,Marketing,West,53506.55,30009.27,78,0.057,76.9,70.1,99,15.3,3
2023-09-01,Operations,North,59796.01,36035.98,62,0.047,86.0,83.0,127,17.9,4
2023-09-01,Operations,South,66572.21,38186.47,64,0.062,85.5,84.1,143,22.7,4
2023-09-01,Operations,West,60507.39,37149.77,66,0.05,88.6,85.3,139,18.5,3
2023-10-01,Sales,North,81355.92,45603.92,154,0.079,92.4,79.2,107,13.1,6
2023-10-01,Sales,South,70583.76,40267.39,133,0.081,78.5,82.5,138,15.5,4
2023-10-01,Sales,West,74580.9,43059.56,137,0.029,84.0,80.4,95,11.8,2
2023-10-01,Marketing,North,53441.7,30505.01,78,0.068,80.4,74.1,88,15.3,6
2023-10-01,Marketing,South,49487.8,29981.99,91,0.091,82.4,71.3,99,21.3,4
2023-10-01,Marketing,West,52549.25,29915.44,95,0.086,76.2,79.1,80,15.6,7
2023-10-01,Operations,North,68274.63,38549.25,79,0.053,81.8,80.7,136,16.5,4
2023-10-01,Operations,South,55684.22,34431.27,75,0.082,85.1,85.6,167,22.5,4
2023-10-01,Operations,West,61470.4,38657.03,61,0.049,88.3,82.2,143,23.5,4
2023-11-01,Sales,North,91012.23,51398.91,137,0.07,82.6,76.9,109,16.8,3
2023-11-01,Sales,South,77161.34,39528.32,133,0.058,80.2,76.6,107,16.2,6
2023-11-01,Sales,West,76003.51,43452.14,151,0.064,82.2,78.1,120,15.7,1
2023-11-01,Marketing,North,53432.77,27865.85,105,0.09,76.5,77.7,116,14.1,7
2023-11-01,Marketing,South,51879.35,29721.63,76,0.073,76.6,68.9,95,15.0,6
2023-11-01,Marketing,West,51807.0,34708.01,70,0.069,81.0,82.0,79,21.5,4
2023-11-01,Operations,North,66680.13,38825.3,96,0.071,85.0,91.6,138,17.1,7
2023-11-01,Operations,South,53662.24,30091.61,71,0.055,87.4,81.3,163,19.9,7
2023-11-01,Operations,West,60342.22,32730.26,70,0.043,91.1,78.7,170,14.8,6
2023-12-01,Sales,North,90314.43,52976.63,146,0.056,85.7,79.3,130,16.2,1
2023-12-01,Sales,South,77473.24,48461.43,157,0.061,81.6,78.5,129,17.7,2
2023-12-01,Sales,West,85758.98,52912.16,128,0.058,84.1,81.4,113,14.4,3
2023-12-01,Marketing,North,59046.23,35006.95,89,0.064,75.5,77.2,76,16.7,5
2023-12-01,Marketing,South,50095.08,29095.27,110,0.083,77.0,71.3,95,19.4,6
2023-12-01,Marketing,West,59031.24,35082.14,74,0.079,80.3,77.4,84,15.8,6
2023-12-01,Operations,North,68558.33,41831.35,77,0.055,83.7,80.3,158,21.1,5
2023-12-01,Operations,South,59967.04,32079.57,52,0.063,85.9,79.7,176,18.8,9
2023-12-01,Operations,West,65431.0,38630.52,68,0.053,86.1,79.4,177,18.8,1
